CodeInsee;CodeDepartement;pays;Commune;Macron PCT;MACRON;LE PEN;MÉLENCHON;MACRON;exp;LE PEN;exp;MÉLENCHON;exp
73001;73;France;Aiguebelette-le-Lac;29;35323383;59;34;54;29;35323383;16;91542289;26;86567164
73003;73;France;Aigueblanche;25;05832944;537;580;379;25;05832944;27;06486234;17;68548763
73004;73;France;Aillon-le-Jeune;27;40213523;77;51;68;27;40213523;18;14946619;24;19928826
73005;73;France;Aillon-le-Vieux;14;68531469;21;20;39;14;68531469;13;98601399;27;27272727
73006;73;France;Aime-la-Plagne;27;21541156;777;650;529;27;21541156;22;76707531;18;52889667
73007;73;France;Aiton;16;57303371;118;262;114;16;57303371;36;79775281;16;01123596
73008;73;France;Aix-les-Bains;30;3316982;5194;3359;3296;30;3316982;19;61574399;19;24783929
73010;73;France;Entrelacs;27;82340862;1084;1052;621;27;82340862;27;00205339;15;93942505
73011;73;France;Albertville;24;19000904;1874;1886;1823;24;19000904;24;34490771;23;53168969
73012;73;France;Albiez-le-Jeune;21;8487395;26;12;42;21;8487395;10;08403361;35;29411765
73013;73;France;Albiez-Montrond;23;95209581;80;80;77;23;95209581;23;95209581;23;05389222
73014;73;France;Allondaz;25;42372881;45;43;40;25;42372881;24;29378531;22;59887006
73015;73;France;Les Allues;34;23076923;356;208;116;34;23076923;20;11;15384615
73017;73;France;Apremont;26;24633431;179;198;72;26;24633431;29;03225806;10;55718475
73018;73;France;Arbin;26;44135189;133;115;101;26;44135189;22;86282306;20;07952286
73019;73;France;Argentine;20;96505824;126;172;125;20;96505824;28;61896839;20;79866889
73020;73;France;Arith;22;12121212;73;82;56;22;12121212;24;84848485;16;96969697
73021;73;France;Arvillard;18;45878136;103;146;149;18;45878136;26;16487455;26;70250896
73022;73;France;Attignat-Oncin;25;54347826;94;77;82;25;54347826;20;92391304;22;2826087
73023;73;France;Aussois;24;17794971;125;83;120;24;17794971;16;05415861;23;21083172
73024;73;France;Les Avanchers-Valmorel;25;32833021;135;127;82;25;32833021;23;82739212;15;38461538
73025;73;France;Avressieux;24;27745665;84;96;57;24;27745665;27;74566474;16;47398844
73026;73;France;Avrieux;26;4;66;78;29;26;4;31;2;11;6
73027;73;France;Ayn;28;96825397;73;46;57;28;96825397;18;25396825;22;61904762
73028;73;France;La Balme;17;88990826;39;78;22;17;88990826;35;77981651;10;09174312
73029;73;France;Barberaz;27;6797829;816;529;657;27;6797829;17;94436906;22;28629579
73030;73;France;Barby;29;11471322;467;320;359;29;11471322;19;95012469;22;38154613
73031;73;France;Bassens;26;98229407;701;536;541;26;98229407;20;63125481;20;82371055
73032;73;France;La Bâthie;17;62189906;206;423;223;17;62189906;36;18477331;19;07613345
73033;73;France;La Bauche;11;42857143;36;89;96;11;42857143;28;25396825;30;47619048
73034;73;France;Beaufort;25;06830601;367;299;274;25;06830601;20;42349727;18;71584699
73036;73;France;Bellecombe-en-Bauges;20;74363992;106;92;152;20;74363992;18;00391389;29;74559687
73039;73;France;Belmont-Tramonet;23;71428571;83;87;62;23;71428571;24;85714286;17;71428571
73040;73;France;Bessans;31;41891892;93;57;46;31;41891892;19;25675676;15;54054054
73041;73;France;Betton-Bettonet;21;42;67;36;21;33;5;18
73042;73;France;Billième;29;58;52;33;29;26;16;5
73043;73;France;La Biolle;27;4135876;460;414;266;27;4135876;24;67222884;15;85220501
73047;73;France;Bonneval-sur-Arc;11;51515152;19;48;28;11;51515152;29;09090909;16;96969697
73048;73;France;Bonvillard;17;22488038;36;69;39;17;22488038;33;01435407;18;66028708
73049;73;France;Bonvillaret;24;17582418;22;27;27;24;17582418;29;67032967;29;67032967
73050;73;France;Bourdeau;33;52601156;116;57;54;33;52601156;16;47398844;15;60693642
73051;73;France;Le Bourget-du-Lac;28;93799002;812;554;540;28;93799002;19;74340699;19;24447612
73052;73;France;Bourget-en-Huile;29;05982906;34;22;19;29;05982906;18;8034188;16;23931624
73053;73;France;Bourgneuf;15;85365854;65;158;72;15;85365854;38;53658537;17;56097561
73054;73;France;Bourg-Saint-Maurice;27;10793738;987;688;787;27;10793738;18;89590772;21;61494095
73055;73;France;Bozel;30;77586207;357;199;217;30;77586207;17;15517241;18;70689655
73057;73;France;Brides-les-Bains;25;5033557;76;66;38;25;5033557;22;14765101;12;75167785
73058;73;France;La Bridoire;23;03120357;155;172;135;23;03120357;25;55720654;20;05943536
73059;73;France;Brison-Saint-Innocent;33;8573156;560;323;239;33;8573156;19;52841596;14;44981862
73061;73;France;Césarches;25;17985612;70;67;54;25;17985612;24;10071942;19;42446043
73063;73;France;Cevins;15;42056075;66;158;75;15;42056075;36;91588785;17;52336449
73064;73;France;Challes-les-Eaux;30;48817011;1018;723;582;30;48817011;21;65318958;17;43036837
73065;73;France;Chambéry;25;47294855;6342;3503;8116;25;47294855;14;06996827;32;59830502
73067;73;France;La Chambre;24;16107383;144;183;92;24;16107383;30;70469799;15;43624161
73068;73;France;Chamousset;17;43589744;68;129;73;17;43589744;33;07692308;18;71794872
73069;73;France;Chamoux-sur-Gelon;15;48042705;87;175;124;15;48042705;31;13879004;22;06405694
73070;73;France;Champagneux;18;61042184;75;164;67;18;61042184;40;69478908;16;62531017
73071;73;France;Champagny-en-Vanoise;32;6754386;149;71;72;32;6754386;15;57017544;15;78947368
73072;73;France;Champ-Laurent;32;69230769;17;7;11;32;69230769;13;46153846;21;15384615
73073;73;France;Chanaz;24;59016393;75;101;45;24;59016393;33;1147541;14;75409836
